/home/sergio/Programming/MJara/Proyecto/data/original/pos,,,,,,,,,,,,,
Set,Negs,TN,FP,Pos,TP,FN,Total,Precision,Recall,MeanTP,MeanTN,MeanFP,MeanFP
A_d800mm_R1,5389,5038,351,3593,3417,176,8982,0.906847,0.951016,-4.07904E-05,8.26631E-05,-1.13509E-05,1.15862E-05
A_d800mm_R2,5094,5038,56,3396,3226,170,8490,0.982937,0.949941,-3.91927E-05,0.000084885,-8.96925E-06,9.44249E-06
A_d800mm_R3,5304,5115,189,3536,3339,197,8840,0.946429,0.944287,-3.61043E-05,8.90309E-05,-1.10792E-05,1.04679E-05
A_d800mm_R4,5790,5712,78,3860,3559,301,9650,0.978554,0.922021,-0.000034242,8.55947E-05,-6.76277E-06,1.17147E-05
A_d800mm_R5,5250,5097,153,3500,3227,273,8750,0.954734,0.922,-3.47149E-05,7.13752E-05,-8.91185E-06,1.13223E-05
A_d800mm_R6,8314,8102,212,5543,5113,430,13857,0.960188,0.922425,-0.000043218,7.18183E-05,-8.11677E-06,0.000009733
A_d800mm_R7,6429,6239,190,4286,4025,261,10715,0.954923,0.939104,-3.92446E-05,7.14991E-05,-8.98306E-06,9.16182E-06
A_d800mm_R8,7285,7092,193,4857,4657,200,12142,0.960206,0.958822,-4.24051E-05,0.000077615,-8.80439E-06,9.14944E-06
B_No_d800mm_R1,11665,11441,224,7777,7261,516,19442,0.970073,0.93365,-0.000040261,7.36964E-05,-1.07296E-05,0.000011149
B_No_d800mm_R2,10098,9914,184,6732,6606,126,16830,0.972901,0.981283,-4.07083E-05,7.63205E-05,-0.000009479,5.60385E-06
B_No_d800mm_R3,10513,10223,290,7009,6712,297,17522,0.958583,0.957626,-4.40439E-05,7.25659E-05,-1.07718E-05,1.13329E-05
B_No_d800mm_R4,11772,11598,174,7848,7609,239,19620,0.977644,0.969546,-4.55532E-05,7.98189E-05,-0.000010619,1.04064E-05
B_No_d800mm_R5,11811,11544,267,7874,7600,274,19685,0.966061,0.965202,-4.20633E-05,6.91536E-05,-9.75617E-06,1.26483E-05
B_No_d800mm_R6,11643,11364,279,7762,7142,620,19405,0.962404,0.920124,-3.81147E-05,0.000069532,-0.00000925,1.25553E-05
B_No_d800mm_R7,11566,11223,343,7711,7336,375,19277,0.955333,0.951368,-4.24078E-05,6.94659E-05,-1.06133E-05,1.00851E-05
,,,,,,,,96.05%,94.59%,,,,
,,,,,,,,1.81%,1.91%,,,,
