/home/sergio/Programming/MJara/Proyecto/data/original/pos,,,,,,,,,,,,,
Set,Negs,TN,FP,Pos,TP,FN,Total,Precision,Recall,MeanTP,MeanTN,MeanFP,MeanFP
A_d800mm_R1,5389,5347,42,3593,3258,335,8982,0.987273,0.906763,-5.79844E-15,1.60702E-14,-1.61794E-15,1.78781E-15
A_d800mm_R2,5094,5075,19,3396,3233,163,8490,0.994157,0.952002,-6.20282E-15,1.51945E-14,-1.24222E-15,1.80775E-15
A_d800mm_R3,5304,5268,36,3536,3399,137,8840,0.98952,0.961256,-7.6506E-15,1.68201E-14,-1.45973E-15,1.7276E-15
A_d800mm_R4,5790,5750,40,3860,3660,200,9650,0.989189,0.948187,-6.83819E-15,1.56125E-14,-1.54726E-15,2.25486E-15
A_d800mm_R5,5250,5224,26,3500,3281,219,8750,0.992138,0.937429,-7.63242E-15,1.55149E-14,-1.2444E-15,2.28662E-15
A_d800mm_R6,8314,8237,77,5543,5207,336,13857,0.985428,0.939383,-7.95756E-15,1.51999E-14,-1.30146E-15,1.93608E-15
A_d800mm_R7,6429,6373,56,4286,3941,345,10715,0.98599,0.919505,-7.0018E-15,1.52471E-14,-1.27248E-15,2.1199E-15
A_d800mm_R8,7285,7173,112,4857,4719,138,12142,0.976816,0.971587,-7.35659E-15,1.38991E-14,-1.47341E-15,1.76401E-15
B_No_d800mm_R1,11665,11512,153,7777,7486,291,19442,0.979971,0.962582,-7.4342E-15,1.53267E-14,-1.84471E-15,1.81447E-15
B_No_d800mm_R2,10098,9919,179,6732,6560,172,16830,0.973438,0.97445,-7.69141E-15,1.42875E-14,-1.56555E-15,1.22339E-15
B_No_d800mm_R3,10513,10384,129,7009,6726,283,17522,0.981182,0.959623,-8.39015E-15,1.34097E-14,-2.02316E-15,2.01772E-15
B_No_d800mm_R4,11772,11698,74,7848,7332,516,19620,0.990008,0.934251,-7.47928E-15,1.60657E-14,-1.64741E-15,2.07572E-15
B_No_d800mm_R5,11811,11656,155,7874,7644,230,19685,0.980126,0.97079,-8.3423E-15,1.3256E-14,-1.43057E-15,1.70791E-15
B_No_d800mm_R6,11643,11524,119,7762,7433,329,19405,0.984243,0.957614,-6.99762E-15,1.37855E-14,-1.57794E-15,1.79673E-15
B_No_d800mm_R7,11566,11444,122,7711,7534,177,19277,0.984065,0.977046,-7.4176E-15,1.39607E-14,-1.78091E-15,1.3902E-15
,,,,,,,,98.49%,95.15%,,,,
,,,,,,,,0.58%,2.06%,,,,
