/home/sergio/Programming/MJara/Proyecto/data/original/pos,,,,,,,,,,,,,
Set,Negs,TN,FP,Pos,TP,FN,Total,Precision,Recall,MeanTP,MeanTN,MeanFP,MeanFP
A_d800mm_R1,5389,5353,36,3593,3417,176,8982,0.989574,0.951016,-5.44968E-15,1.14376E-14,-8.36882E-16,1.16671E-15
A_d800mm_R2,5094,5068,26,3396,3232,164,8490,0.99202,0.951708,-5.26568E-15,1.09991E-14,-8.17585E-16,9.94709E-16
A_d800mm_R3,5304,5287,17,3536,3372,164,8840,0.994984,0.95362,-5.38072E-15,1.21158E-14,-1.30575E-15,1.40023E-15
A_d800mm_R4,5790,5775,15,3860,3606,254,9650,0.995857,0.934197,-4.54202E-15,1.22385E-14,-6.44345E-16,1.36921E-15
A_d800mm_R5,5250,5236,14,3500,3277,223,8750,0.995746,0.936286,-5.51455E-15,1.19627E-14,-1.02182E-15,1.71578E-15
A_d800mm_R6,8314,8264,50,5543,5339,204,13857,0.990722,0.963197,-5.55008E-15,1.11977E-14,-9.38804E-16,1.53543E-15
A_d800mm_R7,6429,6393,36,4286,3927,359,10715,0.990916,0.916239,-5.47163E-15,1.17704E-14,-1.30037E-15,1.59463E-15
A_d800mm_R8,7285,7235,50,4857,4642,215,12142,0.989344,0.955734,-5.04694E-15,1.15163E-14,-9.14319E-16,1.16193E-15
B_No_d800mm_R1,11665,11582,83,7777,7496,281,19442,0.989049,0.963868,-6.13482E-15,1.22107E-14,-1.27106E-15,1.19766E-15
B_No_d800mm_R2,10098,10004,94,6732,6620,112,16830,0.985999,0.983363,-6.02312E-15,1.15767E-14,-1.0639E-15,8.15749E-16
B_No_d800mm_R3,10513,10435,78,7009,6658,351,17522,0.98842,0.949922,-5.92121E-15,1.16102E-14,-1.3381E-15,1.49115E-15
B_No_d800mm_R4,11772,11664,108,7848,7569,279,19620,0.985932,0.96445,-6.63555E-15,1.05292E-14,-1.51638E-15,1.36709E-15
B_No_d800mm_R5,11811,11701,110,7874,7744,130,19685,0.985994,0.98349,-6.62481E-15,9.74846E-15,-1.08177E-15,1.05589E-15
B_No_d800mm_R6,11643,11544,99,7762,7485,277,19405,0.986946,0.964313,-6.40514E-15,1.03858E-14,-1.12795E-15,1.89042E-15
B_No_d800mm_R7,11566,11459,107,7711,7549,162,19277,0.986024,0.978991,-5.86477E-15,1.12329E-14,-1.18507E-15,1.17472E-15
,,,,,,,,98.98%,95.67%,,,,
,,,,,,,,0.35%,1.85%,,,,
