/home/sergio/Programming/MJara/Proyecto/data/original/pos,,,,,,,,,,,,,
Set,Negs,TN,FP,Pos,TP,FN,Total,Precision,Recall,MeanTP,MeanTN,MeanFP,MeanFP
A_d800mm_R1,5389,5038,351,3593,3417,176,8982,0.906847,0.951016,-5.10013E-06,1.03356E-05,-1.41923E-06,1.44865E-06
A_d800mm_R2,5094,5038,56,3396,3226,170,8490,0.982937,0.949941,-4.90037E-06,1.06134E-05,-1.12145E-06,1.18062E-06
A_d800mm_R3,5304,5115,189,3536,3339,197,8840,0.946429,0.944287,-4.51422E-06,1.11318E-05,-1.38526E-06,1.30883E-06
A_d800mm_R4,5790,5712,78,3860,3559,301,9650,0.978554,0.922021,-4.28137E-06,1.07021E-05,-8.45567E-07,1.46473E-06
A_d800mm_R5,5250,5097,153,3500,3227,273,8750,0.954734,0.922,-4.3405E-06,8.92423E-06,-1.11427E-06,1.41565E-06
A_d800mm_R6,8314,8102,212,5543,5113,430,13857,0.960188,0.922425,-5.40366E-06,8.97963E-06,-1.01486E-06,1.21694E-06
A_d800mm_R7,6429,6239,190,4286,4025,261,10715,0.954923,0.939104,-4.90687E-06,8.93973E-06,-1.12318E-06,1.14553E-06
A_d800mm_R8,7285,7092,193,4857,4657,200,12142,0.960206,0.958822,-0.000005302,9.70442E-06,-1.10084E-06,0.000001144
B_No_d800mm_R1,11665,11441,224,7777,7261,516,19442,0.970073,0.93365,-5.03394E-06,9.21447E-06,-1.34155E-06,0.000001394
B_No_d800mm_R2,10098,9914,184,6732,6606,126,16830,0.972901,0.981283,-5.08987E-06,9.54257E-06,-1.18518E-06,7.00665E-07
B_No_d800mm_R3,10513,10223,290,7009,6712,297,17522,0.958583,0.957626,-5.50693E-06,9.07312E-06,-1.34683E-06,0.000001417
B_No_d800mm_R4,11772,11598,174,7848,7609,239,19620,0.977644,0.969546,-5.69564E-06,0.00000998,-1.32772E-06,1.30114E-06
B_No_d800mm_R5,11811,11544,267,7874,7600,274,19685,0.966061,0.965202,-5.25929E-06,8.64646E-06,-1.21984E-06,1.58146E-06
B_No_d800mm_R6,11643,11364,279,7762,7142,620,19405,0.962404,0.920124,-4.76559E-06,8.69378E-06,-1.15656E-06,1.56982E-06
B_No_d800mm_R7,11566,11223,343,7711,7336,375,19277,0.955333,0.951368,-5.30237E-06,8.68551E-06,-0.000001327,0.000001261
,,,,,,,,96.05%,94.59%,,,,
,,,,,,,,1.81%,1.91%,,,,
