/home/sergio/Programming/MJara/Proyecto/data/original/pos,,,,,,,,,,,,,
Set,Negs,TN,FP,Pos,TP,FN,Total,Precision,Recall,MeanTP,MeanTN,MeanFP,MeanFP
A_d800mm_R1,5389,5038,351,3593,3417,176,8982,0.906847,0.951016,-1.55589E-10,3.15311E-10,-4.32954E-11,4.41954E-11
A_d800mm_R2,5094,5038,56,3396,3226,170,8490,0.982937,0.949941,-1.49495E-10,3.23786E-10,-3.42113E-11,3.60182E-11
A_d800mm_R3,5304,5115,189,3536,3339,197,8840,0.946429,0.944287,-1.37715E-10,3.39599E-10,-4.22596E-11,3.99294E-11
A_d800mm_R4,5790,5712,78,3860,3559,301,9650,0.978554,0.922021,-1.30612E-10,3.26492E-10,-2.57959E-11,4.46845E-11
A_d800mm_R5,5250,5097,153,3500,3227,273,8750,0.954734,0.922,-1.32417E-10,2.72252E-10,-3.39938E-11,4.3187E-11
A_d800mm_R6,8314,8102,212,5543,5113,430,13857,0.960188,0.922425,-1.64851E-10,2.73942E-10,-3.09616E-11,3.71244E-11
A_d800mm_R7,6429,6239,190,4286,4025,261,10715,0.954923,0.939104,-1.49694E-10,2.72726E-10,-3.42646E-11,3.4947E-11
A_d800mm_R8,7285,7092,193,4857,4657,200,12142,0.960206,0.958822,-1.61749E-10,2.96055E-10,-3.35825E-11,3.49004E-11
B_No_d800mm_R1,11665,11441,224,7777,7261,516,19442,0.970073,0.93365,-1.53569E-10,2.81109E-10,-4.09247E-11,4.25288E-11
B_No_d800mm_R2,10098,9914,184,6732,6606,126,16830,0.972901,0.981283,-1.55275E-10,2.91118E-10,-3.61545E-11,2.13773E-11
B_No_d800mm_R3,10513,10223,290,7009,6712,297,17522,0.958583,0.957626,-1.68001E-10,2.76795E-10,-4.10882E-11,4.3228E-11
B_No_d800mm_R4,11772,11598,174,7848,7609,239,19620,0.977644,0.969546,-1.73758E-10,3.0446E-10,-4.05052E-11,3.9694E-11
B_No_d800mm_R5,11811,11544,267,7874,7600,274,19685,0.966061,0.965202,-1.60446E-10,2.63779E-10,-3.72135E-11,4.8246E-11
B_No_d800mm_R6,11643,11364,279,7762,7142,620,19405,0.962404,0.920124,-1.45383E-10,2.65224E-10,-3.52819E-11,4.78922E-11
B_No_d800mm_R7,11566,11223,343,7711,7336,375,19277,0.955333,0.951368,-1.61759E-10,2.64971E-10,-4.04825E-11,3.84695E-11
,,,,,,,,96.05%,94.59%,,,,
,,,,,,,,1.81%,1.91%,,,,
