/home/sergio/Programming/MJara/Proyecto/data/original/pos,,,,,,,,,,,,,
Set,Negs,TN,FP,Pos,TP,FN,Total,Precision,Recall,MeanTP,MeanTN,MeanFP,MeanFP
A_d800mm_R1,5389,5038,351,3593,3417,176,8982,0.906847,0.951016,-0.0106921,0.0216679,-0.00297532,0.003037
A_d800mm_R2,5094,5038,56,3396,3226,170,8490,0.982937,0.949941,-0.0102733,0.0222503,-0.00235105,0.0024751
A_d800mm_R3,5304,5115,189,3536,3339,197,8840,0.946429,0.944287,-0.00946377,0.0233371,-0.00290411,0.00274388
A_d800mm_R4,5790,5712,78,3860,3559,301,9650,0.978554,0.922021,-0.00897563,0.0224364,-0.00177268,0.00307071
A_d800mm_R5,5250,5097,153,3500,3227,273,8750,0.954734,0.922,-0.00909959,0.0187091,-0.002336,0.00296783
A_d800mm_R6,8314,8102,212,5543,5113,430,13857,0.960188,0.922425,-0.0113284,0.0188252,-0.00212759,0.00255125
A_d800mm_R7,6429,6239,190,4286,4025,261,10715,0.954923,0.939104,-0.0102869,0.0187416,-0.00235467,0.00240153
A_d800mm_R8,7285,7092,193,4857,4657,200,12142,0.960206,0.958822,-0.0111154,0.0203447,-0.00230783,0.00239828
B_No_d800mm_R1,11665,11441,224,7777,7261,516,19442,0.970073,0.93365,-0.0105533,0.0193175,-0.00281247,0.00292241
B_No_d800mm_R2,10098,9914,184,6732,6606,126,16830,0.972901,0.981283,-0.0106706,0.0200054,-0.00248466,0.0014689
B_No_d800mm_R3,10513,10223,290,7009,6712,297,17522,0.958583,0.957626,-0.0115449,0.0190212,-0.00282355,0.00297062
B_No_d800mm_R4,11772,11598,174,7848,7609,239,19620,0.977644,0.969546,-0.0119406,0.0209224,-0.00278349,0.00272776
B_No_d800mm_R5,11811,11544,267,7874,7600,274,19685,0.966061,0.965202,-0.0110258,0.0181268,-0.00255732,0.00331542
B_No_d800mm_R6,11643,11364,279,7762,7142,620,19405,0.962404,0.920124,-0.00999075,0.0182259,-0.00242465,0.00329103
B_No_d800mm_R7,11566,11223,343,7711,7336,375,19277,0.955333,0.951368,-0.0111161,0.0182086,-0.002782,0.00264354
,,,,,,,,96.05%,94.59%,,,,
,,,,,,,,1.81%,1.91%,,,,
